"SecurityID","ContractCode","ShortName","CallOrPut","TradingDate","DataType","Symbol","ExchangeCode","StrikePrice","ExerciseDate","ClosePrice","UnderlyingScrtClose","RemainingTerm","RisklessRate","HistoricalVolatility","ImpliedVolatility","TheoreticalPrice","Delta","Gamma","Vega","Theta","Rho"
"209000000095","600104C1402M01600","上汽集团购2月1600","C","2014-01-14","2","10000015","SSE","16.000","2014-02-26","0.0990","13.110","0.1178","3.0000","0.3235","0.4387","0.0252","","","","",""
"209000000195","510180C1402M01800","180ETF购2月1800","C","2014-01-14","2","90000099","SSE","1.800","2014-02-26","0.1430","1.918","0.1178","3.0000","0.1882","0.2440","0.1336","","","","",""
"209000000070","510180P1403M02100","180ETF沽3月2100","P","2014-01-14","2","90000070","SSE","2.100","2014-03-26","0.1850","1.918","0.1945","3.0000","0.1882","0.1973","0.1831","","","","",""
"209000000013","510050C1402M01550","50ETF购2月1550","C","2014-01-14","2","90000013","SSE","1.550","2014-02-26","0.0240","1.495","0.1178","3.0000","0.2038","0.2136","0.0222","","","","",""
"209000000193","510180C1401M01800","180ETF购1月1800","C","2014-01-14","2","90000097","SSE","1.800","2014-01-22","0.1180","1.918","0.0219","3.0000","0.1882","","0.1194","","","","",""
"209000000133","601318C1402M04000","中国平安购2月4000","C","2014-01-14","2","10000053","SSE","40.000","2014-02-26","1.9680","39.990","0.1178","3.0000","0.2859","0.3481","1.6289","","","","",""
"209000000187","510050C1402M01400","50ETF购2月1400","C","2014-01-14","2","90000091","SSE","1.400","2014-02-26","0.1110","1.495","0.1178","3.0000","0.2038","0.2233","0.1085","","","","",""
"209000000002","510050C1401M01500","50ETF购1月1500","C","2014-01-14","2","90000002","SSE","1.500","2014-01-22","0.0160","1.495","0.0219","3.0000","0.2038","0.2029","0.0161","","","","",""
"209000000083","600104C1401M01400","上汽集团购1月1400","C","2014-01-14","2","10000003","SSE","14.000","2014-01-22","0.4100","13.110","0.0219","3.0000","0.3235","0.9659","0.0260","","","","",""
"209000000050","510180P1401M02100","180ETF沽1月2100","P","2014-01-14","2","90000050","SSE","2.100","2014-01-22","0.1820","1.918","0.0219","3.0000","0.1882","0.3356","0.1806","","","","",""
"209000000086","600104P1401M01200","上汽集团沽1月1200","P","2014-01-14","2","10000006","SSE","12.000","2014-01-22","0.0500","13.110","0.0219","3.0000","0.3235","0.4957","0.0073","","","","",""
"209000000065","510180C1403M02100","180ETF购3月2100","C","2014-01-14","2","90000065","SSE","2.100","2014-03-26","0.0200","1.918","0.1945","3.0000","0.1882","0.2182","0.0133","","","","",""
"209000000011","510050C1402M01450","50ETF购2月1450","C","2014-01-14","2","90000011","SSE","1.450","2014-02-26","0.0740","1.495","0.1178","3.0000","0.2038","0.2213","0.0708","","","","",""
"209000000170","600104P1401M01100","上汽集团沽1月1100","P","2014-01-14","2","10000082","SSE","11.000","2014-01-22","0.0280","13.110","0.0219","3.0000","0.3235","0.7299","0.0000","","","","",""
